,text
1000,Ok i juz receive..
1001,I don't know jack shit about anything or i'd say/ask something helpful but if you want you can pretend that I did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga
1002,FREE entry into our å£250 weekly comp just send the word ENTER to 84128 NOW. 18 T&C www.textcomp.com cust care 08712405020.
1003,"Alright we're hooked up, where you guys at"
1004,"And how you will do that, princess? :)"
1005,K fyi x has a ride early tomorrow morning but he's crashing at our place tonight
1006,"ItÛ÷s å£6 to get in, is that ok?"
1007,Its  &lt;#&gt; k here oh. Should i send home for sale.
1008,"pdate_Now - Double mins and 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia & Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/!YHL"
1009,Dunno i juz askin cos i got a card got 20% off 4 a salon called hair sense so i tot it's da one Ì_ cut ur hair. 
1010,I love you. You set my soul on fire. It is not just a spark. But it is a flame. A big rawring flame. XoXo
1011,My trip was ok but quite tiring lor. Uni starts today but it's ok 4 me cos i'm not taking any modules but jus concentrating on my final yr project.
1012,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear"""
1013,"Could you not read me, my Love ? I answered you"
1014,85233 FREE>Ringtone!Reply REAL
1015,Do you always celebrate NY's with your family ?
1016,2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out
1017,"Hm good morning, headache anyone? :-)"
1018,"Ask g or iouri, I've told the story like ten times already"
1019,U have won a nokia 6230 plus a free digital camera. This is what u get when u win our FREE auction. To take part send NOKIA to 83383 now. POBOX114/14TCR/W1 16
1020,At 4. Let's go to bill millers
1021,1 I don't have her number and 2 its gonna be a massive pain in the ass and i'd rather not get involved if that's possible
1022,"Somewhr someone is surely made 4 u. And God has decided a perfect time to make u meet dat person. . . . till den, . . . . . Enjoy ur crushes..!!!;-)"
1023,Howz that persons story
1024,what is your account number?
1025,"Dear relieved of westonzoyland, all going to plan this end too!"
1026,Oh god i am happy to see your message after 3 days
1027,Ok. But i finish at 6.
1028,Sitting in mu waiting for everyone to get out of my suite so I can take a shower
1029,I'm putting it on now. It should be ready for  &lt;TIME&gt; 
1030,10 min later k...
1031,"Sure, whenever you show the fuck up &gt;:("
1032,"By the way, 'rencontre' is to meet again. Mountains dont...."
1033,:-) yeah! Lol. Luckily i didn't have a starring role like you!
1034,In e msg jus now. U said thanks for gift.
1035,I am in bus on the way to calicut
1036,Babe ? I lost you ... :-(
1037,"Congratulations! Thanks to a good friend U have WON the å£2,000 Xmas prize. 2 claim is easy, just call 08718726978 NOW! Only 10p per minute. BT-national-rate"
1038,"Oh, my love, it's soooo good to hear from you. Omg I missed you so much today. I'm sorry your having problems with the provider but thank you for tming me"
1039,How abt making some of the pics bigger?
1040,Just re read it and I have no shame but tell me how he takes it and if he runs I will blame u 4 ever!! Not really 4 ever just a long time 
1041,Wat time u finish ur lect today?
1042,XMAS Prize draws! We are trying to contact U. Todays draw shows that you have won a å£2000 prize GUARANTEED. Call 09058094565 from land line. Valid 12hrs only
1043,I cant pick the phone right now. Pls send a message
1044,Old Orchard near univ. How about you?
1045,Wife.how she knew the time of murder exactly
1046,Bring home some Wendy =D
1047,Theyre doing it to lots of places. Only hospitals and medical places are safe.
1048,Appt is at &lt;TIME&gt; am. Not my fault u don't listen. I told u twice
1049,If i said anything wrong sorry de:-)
1050,Mmm so yummy babe ... Nice jolt to the suzy
1051,I will treasure every moment we spend together...
1052,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04
1053,"K, want us to come by now?"
1054,U repeat e instructions again. Wat's e road name of ur house?
1055,\Its Ur luck to Love someone. Its Ur fortune to Love the one who Loves U. But
1056,No i'm not gonna be able to. || too late notice. || i'll be home in a few weeks anyway. || what are the plans
1057,Dont you have message offer
1058,Ffffffffff. Alright no way I can meet up with you sooner?
1059,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p på£3.99
1060,What's up my own oga. Left my phone at home and just saw ur messages. Hope you are good. Have a great weekend.
1061,Remind me how to get there and I shall do so
1062,I'm ok wif it cos i like 2 try new things. But i scared u dun like mah. Cos u said not too loud.
1063,"Solve d Case : A Man Was Found Murdered On  &lt;DECIMAL&gt; . &lt;#&gt;  AfterNoon. 1,His wife called Police. 2,Police questioned everyone. 3,Wife: Sir,I was sleeping, when the murder took place. 4.Cook: I was cooking. 5.Gardener: I was picking vegetables. 6.House-Maid: I went 2 d post office. 7.Children: We went 2 play. 8.Neighbour: We went 2 a marriage. Police arrested d murderer Immediately. Who's It? Reply With Reason, If U r Brilliant."
1064,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out! "
1065,"Ok, be careful ! Don't text and drive !"
1066,Good. Good job. I like entrepreneurs
1067,So Ì_'ll be submitting da project tmr rite?
1068,Reading gud habit.. Nan bari hudgi yorge pataistha ertini kano:-)
1069,Tell rob to mack his gf in the theater
1070,That's cause your old. I live to be high.
1071,When should I come over?
1072,Is xy going 4 e lunch?
1073,Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow
1074,Huh i cant thk of more oredi how many pages do we have?
1075,LOL ... No just was busy
1076,"I get out of class in bsn in like  &lt;#&gt;  minutes, you know where advising is?"
1077,How come?
1078,"I'm there and I can see you, but you can't see me ? Maybe you should reboot ym ? I seen the buzz"
1079,Is it ok if I stay the night here? Xavier has a sleeping bag and I'm getting tired
1080,Great. I was getting worried about you. Just know that a wonderful and caring person like you will have only the best in life. Know that u r wonderful and God's love is yours.
1081,If anyone calls for a treadmill say you'll buy it. Make sure its working. I found an ad on Craigslist selling for $ &lt;#&gt; .
1082,"For ur chance to win å£250 cash every wk TXT: PLAY to 83370. T's&C's www.music-trivia.net custcare 08715705022, 1x150p/wk."
1083,Haha okay... Today weekend leh... 
1084,"Want to funk up ur fone with a weekly new tone reply TONES2U 2 this text. www.ringtones.co.uk, the original n best. Tones 3GBP network operator rates apply"
1085,Squeeeeeze!! This is christmas hug.. If u lik my frndshp den hug me back.. If u get 3 u r cute:) 6 u r luvd:* 9 u r so lucky;) None? People hate u:
1086,YOU ARE CHOSEN TO RECEIVE A å£350 AWARD! Pls call claim number 09066364311 to collect your award which you are selected to receive as a valued mobile customer.
1087,U sick still can go shopping?
1088,"Mah b, I'll pick it up tomorrow"
1089,They will pick up and drop in car.so no problem..
1090,\ER
1091,"For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk"
1092,K. Did you call me just now ah? 
1093,Yes but can we meet in town cos will go to gep and then home. You could text at bus stop. And don't worry we'll have finished by march Û_ ish!
1094,Yeah I don't see why not
1095,You have 1 new message. Please call 08715205273
1096,ÌÏ bot notes oredi... Cos i juz rem i got...
1097,Hey we can go jazz power yoga hip hop kb and yogasana 
1098,That's one of the issues but california is okay. No snow so its manageable
1099,"Someone U know has asked our dating service 2 contact you! Cant guess who? CALL 09058095107 NOW all will be revealed. POBox 7, S3XY 150p "
1100,I'll probably be around mu a lot
1101,Oh god..taken the teeth?is it paining
1102,Yes.i'm in office da:)
1103,Pls give her the food preferably pap very slowly with loads of sugar. You can take up to an hour to give it. And then some water. Very very slowly.
1104,You have won a guaranteed 32000 award or maybe even å£1000 cash to claim ur award call free on 0800 ..... (18+). Its a legitimat efreefone number wat do u think???
1105,Yup i'm free...
1106,En chikku nange bakra msg kalstiya..then had tea/coffee?
1107,Hi my email address has changed now it is 
1108,K:)k..its good:)when are you going?
1109,"When you just put in the + sign, choose my number and the pin will show. Right?"
1110,Shall i send that exe to your mail id.
1111,I know that my friend already told that.
1112,HI DARLIN I FINISH AT 3 DO U 1 2 PICK ME UP OR MEET ME? TEXT BACK ON THIS NUMBER LUV KATE XXX
1113,You dont know you jabo me abi.
1114,I need you to be in my strong arms...
1115,"Haha I heard that, text me when you're around"
1116,"That's what I love to hear :V see you sundayish, then"
1117,"Pete,is this your phone still? Its Jenny from college and Leanne.what are you up to now?:)"
1118,"Doing nothing, then u not having dinner w us?"
1119,Jamster! To get your free wallpaper text HEART to 88888 now! T&C apply. 16 only. Need Help? Call 08701213186.
1120,"Not sure yet, still trying to get a hold of him"
1121,Cheers for the message Zogtorius. IåÕve been staring at my phone for an age deciding whether to text or not.
1122,I've not sent it. He can send me.
1123,Yar he quite clever but aft many guesses lor. He got ask me 2 bring but i thk darren not so willing 2 go. Aiya they thk leona still not attach wat.
1124,"Jus chillaxin, what up"
1125,Then u going ikea str aft dat?
1126,"Feb  &lt;#&gt;  is \I LOVE U\"" day. Send dis to all ur \""VALUED FRNDS\"" evn me. If 3 comes back u'll gt married d person u luv! If u ignore dis u will lose ur luv 4 Evr"""
1127,"Whats that coming over the hill..... Is it a monster! Hope you have a great day. Things r going fine here, busy though! "
1128,"Aight, can you text me the address?"
1129,Be sure to check your yahoo email. We sent photos yesterday
1130,ÌÏ thk of wat to eat tonight.
1131,"Dont search love, let love find U. Thats why its called falling in love, bcoz U dont force yourself, U just fall and U know there is smeone to hold U... BSLVYL"
1132,Is ur paper in e morn or aft tmr?
1133,We tried to contact you re your reply to our offer of a Video Phone 750 anytime any network mins Half Price Line Rental Camcorder Reply or call 08000930705
1134,Yes... I trust u to buy new stuff ASAP so I can try it out
1135,So is there anything specific I should be doing with regards to jaklin or what because idk what the fuck
1136,"Carlos is down but I have to pick it up from him, so I'll swing by usf in a little bit"
1137,WHITE FUDGE OREOS ARE IN STORES
1138,I cant pick the phone right now. Pls send a message
1139,No dear i was sleeping :-P
1140,"You have been selected to stay in 1 of 250 top British hotels - FOR NOTHING! Holiday Worth å£350! To Claim, Call London 02072069400. Bx 526, SW73SS"
1141,I thk u dun haf 2 hint in e forum already lor... Cos i told ron n darren is going 2 tell shuhui.
1142,Good Morning my Dear........... Have a great &amp; successful day.
1143,"I'm an actor. When i work, i work in the evening and sleep late. Since i'm unemployed at the moment, i ALWAYS sleep late. When you're unemployed, every day is saturday."
1144,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again
1145,Need a coffee run tomo?Can't believe it's that time of week already
1146,Good sleep is about rhythm. The person has to establish a rhythm that the body will learn and use. If you want to know more :-)
1147,&lt;#&gt;  am I think? Should say on syllabus
1148,Hey leave it. not a big deal:-) take care.
1149,Yup but it's not giving me problems now so mayb i'll jus leave it...
1150,"We are at grandmas. Oh dear, u still ill? I felt Shit this morning but i think i am just hungover! Another night then. We leave on sat."
1151,\SHIT BABE.. THASA BIT MESSED UP.YEH
1152,What Today-sunday..sunday is holiday..so no work..
1153,No pic. Please re-send.
1154,This weekend is fine (an excuse not to do too much decorating)
1155,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
1156,"U need my presnts always bcz U cant mis love. \jeevithathile irulinae neekunna prakasamanu sneham\"" prakasam ennal prabha 'That mns prabha is'LOVE' Got it. Dont mis me...."""
1157,Send me your resume:-)
1158,Jus finished avatar nigro
1159,Dunno lei... I might b eatin wif my frens... If Ì_ wan to eat then i wait 4 Ì_ lar
1160,Merry christmas to u too annie!
1161,watever reLation u built up in dis world only thing which remains atlast iz lonlines with lotz n lot memories! feeling..
1162,Nope. Meanwhile she talk say make i greet you.
1163,Just finished. Missing you plenty
1164,Tell where you reached
1165,Thats cool. i am a gentleman and will treat you with dignity and respect.
1166,"Orange customer, you may now claim your FREE CAMERA PHONE upgrade for your loyalty. Call now on 0207 153 9996. Offer ends 14thMarch. T&C's apply. Opt-out availa"
1167,"And that is the problem. You walk around in \julianaland\"" oblivious to what is going on around you. I say the same things constantly and they go in one ear and out the other while you go off doing whatever you want to do. It's not that you don't know why I'm upset--it's that you don't listen when i tell you WHAT is going to upset me. Then you want to be surprised when I'm mad."""
1168,Hope you are not scared!
1169,"She was supposed to be but couldn't make it, she's still in town though"
1170,"Sorry, I'll call later"
1171,"I need an 8th but I'm off campus atm, could I pick up in an hour or two?"
1172,* Will have two more cartons off u and is very pleased with shelves
1173,How i noe... Did Ì_ specify da domain as nusstu... ÌÏ still in sch...
1174,Haven't left yet so probably gonna be here til dinner
1175,"Babe! How goes that day ? What are you up to ? I miss you already, my Love ... * loving kiss* ... I hope everything goes well."
1176,Are you coming to day for class.
1177,Awww dat is sweet! We can think of something to do he he! Have a nice time tonight ill probably txt u later cos im lonely :( xxx.
1178,My love ! How come it took you so long to leave for Zaher's? I got your words on ym and was happy to see them but was sad you had left. I miss you
1179,Yavnt tried yet and never played original either
1180,"Yeah I should be able to, I'll text you when I'm ready to meet up"
1181,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)"
1182,Am also doing in cbe only. But have to pay.
1183,Whens your radio show?
1184,K and you're sure I don't have to have consent forms to do it :V
1185,"I'm outside islands, head towards hard rock and you'll run into me"
1186,Are you happy baby ? Are you alright ? Did you take that job ? I hope your fine. I send you a kiss to make you smile from across the sea ... *kiss* *kiss*
1187,"URGENT! You have won a 1 week FREE membership in our å£100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18"
1188,Oic... I saw him too but i tot he din c me... I found a group liao...
1189,I love you both too :-)
1190,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear"""
1191,Many more happy returns of the day. I wish you happy birthday.
1192,Hahaha..use your brain dear
1193,HIYA COMIN 2 BRISTOL 1 ST WEEK IN APRIL. LES GOT OFF + RUDI ON NEW YRS EVE BUT I WAS SNORING.THEY WERE DRUNK! U BAK AT COLLEGE YET? MY WORK SENDS INK 2 BATH.
1194,Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.
1195,Dude got a haircut. Now its breezy up there
1196,thanks for the temales it was wonderful. Thank. Have a great week.
1197,"This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only å£1.50/week. SavaMob - offers mobile!"
1198,Ok lor... Or u wan me go look 4 u?
1199,If you don't respond imma assume you're still asleep and imma start calling n shit
1200,Oic... Then better quickly go bathe n settle down...
1201,Noice. Text me when you're here
1202,Don no da:)whats you plan?
1203,"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to"
1204,"Call me, i am senthil from hsbc."
1205,"Do whatever you want. You know what the rules are. We had a talk earlier this week about what had to start happening, you showing responsibility. Yet, every week it's can i bend the rule this way? What about that way? Do whatever. I'm tired of having thia same argument with you every week. And a  &lt;#&gt;  movie DOESNT inlude the previews. You're still getting in after 1."
1206,And several to you sir.
1207,"That's cool, I'll come by like  &lt;#&gt; ish"
1208,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE"
1209,Will be office around 4 pm. Now i am going hospital.
1210,Even my brother is not like to speak with me. They treat me like aids patent.
1211,Cause I'm not freaky lol
1212,I got lousy sleep. I kept waking up every 2 hours to see if my cat wanted to come in. I worry about him when its cold :(
1213,Ok i've sent u da latest version of da project.
1214,"Hmm... Dunno leh, mayb a bag 4 goigng out dat is not too small. Or jus anything except perfume, smth dat i can keep."
1215,"Sorry I flaked last night, shit's seriously goin down with my roommate, what you up to tonight?"
1216,I pocked you up there before
1217,Hello hun how ru? Its here by the way. Im good. Been on 2 dates with that guy i met in walkabout so far. We have to meet up soon. Hows everyone else?
1218,Any way where are you and what doing.
1219,"That's fine, I'll bitch at you about it later then"
1220,HI ITS KATE CAN U GIVE ME A RING ASAP XXX
1221,Nope wif my sis lor... Aft bathing my dog then i can bathe... Looks like it's going 2 rain soon.
1222,"Friendship is not a game to play, It is not a word to say, It doesn\'t start on March and ends on May, It is tomorrow, yesterday, today and e"
1223,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0
1224,I gotta collect da car at 6 lei.
1225,Haf u eaten? Wat time u wan me 2 come?
1226,"I don't have anybody's number, I still haven't thought up a tactful way to ask alex"
1227,The greatest test of courage on earth is to bear defeat without losing heart....gn tc
1228,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+
1229,Raviyog Peripherals bhayandar east
1230,Howz pain?hope u r fine..
1231,Kinda. First one gets in at twelve! Aah. Speak tomo
1232,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
1233,I will vote for wherever my heart guides me
1234,Anything lor is she coming?
1235,how tall are you princess?
1236,"Sorry, I'll call later"
1237,I'm in school now n i'll be in da lab doing some stuff give me a call when Ì_ r done.
1238,"Yeah hopefully, if tyler can't do it I could maybe ask around a bit"
1239,Waiting for your call.
1240,How much are we getting?
1241,Well welp is sort of a semiobscure internet thing
1242,Hi babe its me thanks for coming even though it didnt go that well!i just wanted my bed! Hope to see you soon love and kisses xxx
1243,"Uncle G, just checking up on you. Do have a rewarding month"
1244,Whom you waited for yesterday
1245,Ur ringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT
1246,Message Important information for O2 user. Today is your lucky day! 2 find out why log onto http://www.urawinner.com there is a fantastic surprise awaiting you
1247,Still in the area of the restaurant. Ill try to come back soon
1248,IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!
1249,Did either of you have any idea's? Do you know of anyplaces doing something?
1250,Customer place i will call you.
1251,how are you? I miss you!
1252,"Goodmorning,my grandfather expired..so am on leave today."
1253,Yeah so basically any time next week you can get away from your mom &amp; get up before 3
1254,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with ur friends just.. . . . kick them &amp; say, I'm always correct.!"
1255,Get ready to put on your excellent sub face :)
1256,Hiya. How was last night? I've been naughty and bought myself clothes and very little ... Ready for more shopping tho! What kind of time do you wanna meet?
1257,Both :) i shoot big loads so get ready!
1258,"January Male Sale! Hot Gay chat now cheaper, call 08709222922. National rate from 1.5p/min cheap to 7.8p/min peak! To stop texts call 08712460324 (10p/min)"
1259,"Hey...Great deal...Farm tour 9am to 5pm $95/pax, $50 deposit by 16 May"
1260,Ard 530 like dat lor. We juz meet in mrt station then Ì_ dun haf to come out.
1261,Yeah right! I'll bring my tape measure fri!
1262,"\Are you comingdown later?\"""""
1263,How much u trying to get?
1264,Pls dont forget to study
1265,My sort code is  and acc no is . The bank is natwest. Can you reply to confirm i've sent this to the right person!
1266,You bad girl. I can still remember them
1267,Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX å£1.50
1268,Maybe i could get book out tomo then return it immediately ..? Or something.
1269,URGENT! Your Mobile number has been awarded with a å£2000 prize GUARANTEED. Call 09058094454 from land line. Claim 3030. Valid 12hrs only
1270,"Sorry, I can't help you on this."
1271,"\HELLO U.CALL WEN U FINISH WRK.I FANCY MEETIN UP WIV U ALL TONITE AS I NEED A BREAK FROM DABOOKS. DID 4 HRS LAST NITE+2 TODAY OF WRK!\"""""
1272,"Its ok chikku, and its my 1 of favourite song..:-)"
1273,Thank You meet you monday
1274,Wat time Ì_ wan today?
1275,"Hiya, probably coming home * weekend after next"
1276,"I know where the  &lt;#&gt;  is, I'll be there around 5"
1277,"The gas station is like a block away from my house, you'll drive right by it since armenia ends at swann and you have to take howard"
1278,I can ask around but there's not a lot in terms of mids up here
1279,"(No promises on when though, haven't even gotten dinner yet)"
1280,"Den only weekdays got special price... Haiz... Cant eat liao... Cut nails oso muz wait until i finish drivin wat, lunch still muz eat wat... "
1281,Bbq this sat at mine from 6ish. Ur welcome 2 come
1282,"Bloody hell, cant believe you forgot my surname Mr . Ill give u a clue, its spanish and begins with m... "
1283,"K, jason says he's gonna be around so I'll be up there around  &lt;#&gt;"
1284,"Yo, you gonna still be in stock tomorrow/today? I'm trying to get a dubsack"
1285,"Sorry, I'll call later"
1286,Sorry da..today i wont come to play..i have driving clas..
1287,Nah im goin 2 the wrks with j wot bout u?
1288,Ok... U enjoy ur shows...
1289,You can jot down things you want to remember later.
1290,So u workin overtime nigpun?
1291,"Good afternoon, my love. It was good to see your words on YM and get your tm. Very smart move, my slave ... *smiles* ... I drink my coffee and await you."
1292,"Didn't try, g and I decided not to head out"
1293,"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat..."
1294,See? I thought it all through
1295,U ned to convince him tht its not possible witot hurting his feeling its the main
1296,Want a new Video Phone? 750 anytime any network mins? Half price line rental free text for 3 months? Reply or call 08000930705 for free delivery
1297, and  picking them up from various points
1298,Send his number and give reply tomorrow morning for why you said that to him like that ok
1299,Was actually sleeping and still might when u call back. So a text is gr8. You rock sis. Will send u a text wen i wake.
1300,"Sorry, it's a lot of friend-of-a-friend stuff, I'm just now about to talk to the actual guy who wants to buy"
1301,What time should I tell my friend to be around?
1302,"\Getting tickets 4 walsall tue 6 th march. My mate is getting me them on sat. ill pay my treat. Want 2 go. Txt bak .Terry\"""""
1303,"Sorry,  in meeting I'll call you later"
1304,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..
1305,"He has lots of used ones babe, but the model doesn't help. Youi have to bring it over and he'll match it up"
1306,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send GO to 86688 only 150p/msg. CC 08718720201 HG/Suite342/2Lands Row/W1J6HL
1307,Thanks for loving me so. You rock
1308,excellent. I spent  &lt;#&gt;  years in the Air Force. Iraq and afghanistan. I am stable and honest. do you like traveling?
1309,R Ì_ comin back for dinner?
1310,Yup he msg me: is tat yijue? Then i tot it's my group mate cos we meeting today mah... I'm askin if Ì_ leaving earlier or wat mah cos mayb Ì_ haf to walk v far...
1311,"Plz note: if anyone calling from a mobile Co. &amp; asks u to type # &lt;#&gt;  or # &lt;#&gt; . Do not do so. Disconnect the call,coz it iz an attempt of 'terrorist' to make use of the sim card no. Itz confirmd by nokia n motorola n has been verified by CNN IBN."
1312,I want to be there so i can kiss you and feel you next to me
1313,i can call in  &lt;#&gt;  min if thats ok
1314,Tomorrow i am not going to theatre. . . So i can come wherever u call me. . . Tell me where and when to come tomorrow
1315,Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q
1316,Hi! You just spoke to MANEESHA V. We'd like to know if you were satisfied with the experience. Reply Toll Free with Yes or No.
1317,"Nah, Wednesday. When should I bring the mini cheetos bag over?"
1318,I wish! I don't think its gonna snow that much. But it will be more than those flurries we usually get that melt before they hit the ground. Eek! We haven't had snow since &lt;#&gt; before I was even born!
1319,IÛ÷ll have a look at the frying pan in case itÛ÷s cheap or a book perhaps. No thatÛ÷s silly a frying pan isnÛ÷t likely to be a book
1320,Yun buying... But school got offer 2000 plus only...
1321,"Yeah, probably but not sure. Ilol let u know, but personally I wuldnt bother, then again if ur goin to then I mite as well!!"
1322,"ou are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a å£500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18"
1323,Yeah jay's sort of a fucking retard
1324,I am not at all happy with what you saying or doing
1325,Fine am simply sitting.
1326,How much r Ì_ willing to pay?
1327,Serious? What like proper tongued her
1328,"Had your contract mobile 11 Mnths? Latest Motorola, Nokia etc. all FREE! Double Mins & Text on Orange tariffs. TEXT YES for callback, no to remove from records"
1329,i am going to bed now prin
1330,Summers finally here! Fancy a chat or flirt with sexy singles in yr area? To get MATCHED up just reply SUMMER now. Free 2 Join. OptOut txt STOP Help08714742804
1331,"I didnt get ur full msg..sometext is missing, send it again"
1332,I wait 4 Ì_ inside da car park...
1333,Oh oh... Den muz change plan liao... Go back have to yan jiu again...
1334,"Same here, but I consider walls and bunkers and shit important just because I never play on peaceful but I guess your place is high enough that it don't matter"
1335,India have to take lead:)
1336,Sos! Any amount i can get pls.
1337,Ok no prob
1338,Yo! Howz u? girls never rang after india. L
1339,"Cant believe i said so many things to you this morning when all i really wanted to say was good morning, i love you! Have a beautiful morning. See you in the library later."
1340,URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid 12hrs only
1341,Dunno y u ask me.
1342,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...
1343,ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+
1344,My planning usually stops at \find hella weed
1345,I just saw ron burgundy captaining a party boat so yeah
1346,Ok ill tell the company
1347,Ok both our days. So what are you making for dinner tonite? Am I invited?
1348,Dont let studying stress you out. L8r.
1349,I don't run away frm u... I walk slowly &amp; it kills me that u don't care enough to stop me...
1350,Annoying isn't it.
1351,Hi here. have birth at on the  to  at 8lb 7oz. Mother and baby doing brilliantly.
1352,It will stop on itself. I however suggest she stays with someone that will be able to give ors for every stool.
1353,I wonder if you'll get this text?
1354,"our mobile number has won å£5000, to claim calls us back or ring the claims hot line on 09050005321."
1355,+123 Congratulations - in this week's competition draw u have won the å£1450 prize to claim just call 09050002311 b4280703. T&Cs/stop SMS 08718727868. Over 18 only 150ppm
1356,For sale - arsenal dartboard. Good condition but no doubles or trebles!
1357,Lol! U drunkard! Just doing my hair at d moment. Yeah still up 4 tonight. Wats the plan? 
1358,"Babe, I'm back ... Come back to me ..."
1359,"Ya, i'm referin to mei's ex wat... No ah, waitin 4 u to treat, somebody shld b rich liao...So gd, den u dun have to work frm tmr onwards..."
1360,Its on in engalnd! But telly has decided it won't let me watch it and mia and elliot were kissing! Damn it!
1361,"Dear, will call Tmorrow.pls accomodate."
1362,Text her. If she doesnt reply let me know so i can have her log in
1363,So what u doing today?
1364,Huh but i got lesson at 4 lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale...  
1365,Er mw im filled tuth is aight
1366,How much did ur hdd casing cost.
1367,"Had your mobile 10 mths? Update to the latest Camera/Video phones for FREE. KEEP UR SAME NUMBER, Get extra free mins/texts. Text YES for a call"
1368,Wherre's my boytoy ? :-(
1369,"FreeMsg: Claim ur 250 SMS messages-Text OK to 84025 now!Use web2mobile 2 ur mates etc. Join Txt250.com for 1.50p/wk. T&C BOX139, LA32WU. 16 . Remove txtX or stop"
1370,"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com"
1371,I tot u outside cos darren say u come shopping. Of course we nice wat. We jus went sim lim look at mp3 player.
1372,Ok then i will come to ur home after half an hour
1373,I notice you like looking in the shit mirror youre turning into a right freak
1374,"Best msg: It's hard to be with a person, when u know that one more step foward will make u fall in love.. &amp; One step back can ruin ur friendship.. good night:-) ..."
1375,"Good evening Sir, hope you are having a nice day. I wanted to bring it to your notice that I have been late in paying rent for the past few months and have had to pay a $ &lt;#&gt;  charge. I felt it would be inconsiderate of me to nag about something you give at great cost to yourself and that's why i didnt speak up. I however am in a recession and wont be able to pay the charge this month hence my askin well ahead of month's end. Can you please help. Thank you for everything."
